depth,seed,model,val_acc
2,0,gcn,0.20923295617103577
2,0,gin,0.21349431872367858
2,1,gcn,0.21164772510528565
2,1,gin,0.21164772510528565
2,2,gcn,0.20284090638160707
2,2,gin,0.19204545319080352
2,3,gcn,0.2169034093618393
2,3,gin,0.2169034093618393
2,4,gcn,0.2044034093618393
2,4,gin,0.2044034093618393
3,0,gcn,0.21164772510528565
3,0,gin,0.21164772510528565
3,1,gcn,0.2065340906381607
3,1,gin,0.21207386255264282
3,2,gcn,0.2169034093618393
3,2,gin,0.2169034093618393
3,3,gcn,0.21647727191448213
3,3,gin,0.2044034093618393
3,4,gcn,0.22357954680919648
3,4,gin,0.22357954680919648
