depth,seed,model,val_acc
2,0,gat,0.3173295438289642
2,0,walkraw,0.6720170497894287
2,0,walkattn,1.0
2,1,gat,0.8409090876579285
2,1,walkraw,0.5460227251052856
2,1,walkattn,1.0
2,2,gat,0.3954545438289642
2,2,walkraw,0.5657670497894287
2,2,walkattn,1.0
2,3,gat,0.38423295617103576
2,3,walkraw,0.7981534123420715
2,3,walkattn,1.0
2,4,gat,0.31122159361839297
2,4,walkraw,0.50625
2,4,walkattn,1.0
3,0,gat,0.5977272748947143
3,0,walkraw,0.3359375
3,0,walkattn,1.0
3,1,gat,0.20284090638160707
3,1,walkraw,0.4542613625526428
3,1,walkattn,1.0
3,2,gat,0.2169034093618393
3,2,walkraw,0.5353693127632141
3,2,walkattn,1.0
3,3,gat,0.21647727191448213
3,3,walkraw,0.6693181872367859
3,3,walkattn,1.0
3,4,gat,0.22357954680919648
3,4,walkraw,0.5115056872367859
3,4,walkattn,1.0
