ring,distance,seed,model,acc
6,3,0,gcn,1.0
6,3,0,gat,1.0
6,3,0,walkattn,1.0
6,3,1,gcn,1.0
6,3,1,gat,1.0
6,3,1,walkattn,1.0
6,3,2,gcn,1.0
6,3,2,gat,1.0
6,3,2,walkattn,1.0
6,3,3,gcn,1.0
6,3,3,gat,1.0
6,3,3,walkattn,1.0
6,3,4,gcn,1.0
6,3,4,gat,1.0
6,3,4,walkattn,1.0
10,5,0,gcn,1.0
10,5,0,gat,1.0
10,5,0,walkattn,1.0
10,5,1,gcn,1.0
10,5,1,gat,1.0
10,5,1,walkattn,1.0
10,5,2,gcn,1.0
10,5,2,gat,1.0
10,5,2,walkattn,1.0
10,5,3,gcn,1.0
10,5,3,gat,1.0
10,5,3,walkattn,1.0
10,5,4,gcn,1.0
10,5,4,gat,1.0
10,5,4,walkattn,1.0
14,7,0,gcn,0.817
14,7,0,gat,0.4308
14,7,0,walkattn,1.0
14,7,1,gcn,0.8036
14,7,1,gat,1.0
14,7,1,walkattn,1.0
14,7,2,gcn,1.0
14,7,2,gat,0.4062
14,7,2,walkattn,1.0
14,7,3,gcn,0.6205
14,7,3,gat,0.6183
14,7,3,walkattn,1.0
14,7,4,gcn,0.8125
14,7,4,gat,1.0
14,7,4,walkattn,1.0
18,9,0,gcn,0.5938
18,9,0,gat,0.2076
18,9,0,walkattn,1.0
18,9,1,gcn,0.6339
18,9,1,gat,0.2098
18,9,1,walkattn,1.0
18,9,2,gcn,0.2076
18,9,2,gat,0.625
18,9,2,walkattn,1.0
18,9,3,gcn,1.0
18,9,3,gat,0.1942
18,9,3,walkattn,1.0
18,9,4,gcn,0.2344
18,9,4,gat,0.2344
18,9,4,walkattn,1.0
